epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1003.86,0.5447,0.50931,0.99364,0.86755,0.84774,0.91098,0.77209,0.66815,0.60633,1.07901,6.4929e-05,6.4929e-05,6.4929e-05
84,1016,0.548,0.50564,0.99245,0.87697,0.84639,0.91108,0.77624,0.65448,0.59184,1.06606,6.15135e-05,6.15135e-05,6.15135e-05
85,1028.01,0.53786,0.49841,0.99137,0.86447,0.85038,0.90699,0.77479,0.64854,0.60164,1.06098,5.8098e-05,5.8098e-05,5.8098e-05
86,1040.03,0.53955,0.50009,0.99263,0.89453,0.82549,0.90715,0.77139,0.66202,0.60215,1.06595,5.46825e-05,5.46825e-05,5.46825e-05
87,1052.2,0.53817,0.49353,0.99002,0.88817,0.81887,0.90814,0.77528,0.65675,0.60664,1.0675,5.1267e-05,5.1267e-05,5.1267e-05
88,1064.24,0.53411,0.4903,0.98606,0.86891,0.84279,0.90703,0.77337,0.65752,0.61303,1.06583,4.78515e-05,4.78515e-05,4.78515e-05
89,1076.26,0.54048,0.48521,0.98684,0.88893,0.81456,0.90438,0.77335,0.65346,0.61134,1.06133,4.4436e-05,4.4436e-05,4.4436e-05
90,1088.4,0.53863,0.49374,0.99203,0.83312,0.86453,0.90485,0.77345,0.65485,0.6043,1.06497,4.10205e-05,4.10205e-05,4.10205e-05
91,1100.93,0.45726,0.34505,0.95833,0.88473,0.8112,0.9035,0.76787,0.65911,0.61524,1.07343,3.7605e-05,3.7605e-05,3.7605e-05
92,1112.95,0.45012,0.3219,0.95355,0.8481,0.84061,0.9031,0.76938,0.65811,0.62032,1.07111,3.41895e-05,3.41895e-05,3.41895e-05
93,1125.04,0.4451,0.31538,0.95253,0.88367,0.80959,0.90151,0.76903,0.65232,0.61746,1.06534,3.0774e-05,3.0774e-05,3.0774e-05
94,1137.05,0.44134,0.3117,0.95102,0.89285,0.81367,0.90538,0.77232,0.65566,0.61156,1.07244,2.73585e-05,2.73585e-05,2.73585e-05
95,1149.09,0.43278,0.29914,0.94266,0.89398,0.80042,0.90245,0.76946,0.66083,0.6167,1.08096,2.3943e-05,2.3943e-05,2.3943e-05
96,1161.19,0.43402,0.29919,0.94504,0.90606,0.79545,0.90578,0.77195,0.6584,0.61553,1.07797,2.05275e-05,2.05275e-05,2.05275e-05
97,1173.21,0.43441,0.2969,0.94441,0.87959,0.82216,0.90491,0.77264,0.6518,0.62242,1.07187,1.7112e-05,1.7112e-05,1.7112e-05
98,1185.21,0.42692,0.297,0.93996,0.89566,0.80205,0.90306,0.77062,0.65519,0.62724,1.0739,1.36965e-05,1.36965e-05,1.36965e-05
99,1197.29,0.43073,0.29577,0.9435,0.85501,0.83673,0.90308,0.77251,0.65097,0.62141,1.0692,1.0281e-05,1.0281e-05,1.0281e-05
100,1209.27,0.42773,0.29002,0.94135,0.87566,0.81885,0.90373,0.77225,0.64899,0.62141,1.06926,6.8655e-06,6.8655e-06,6.8655e-06
