epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,149711,0.55311,1.04984,0.45192,0.83597,0.9592,0.75701,0.79604,0.76446,0.94138,0.75266,0.79054,0.69105,0.39622,0.76048,0.28009,0.79135,0.0089506,0.0089506,0.0089506
55,153117,0.55013,1.04392,0.44712,0.83533,0.95892,0.757,0.79595,0.76444,0.94278,0.75263,0.79059,0.69096,0.39541,0.75946,0.27892,0.79119,0.0089308,0.0089308,0.0089308
56,156820,0.5511,1.04918,0.44882,0.8356,0.95724,0.75741,0.79604,0.76475,0.94223,0.75277,0.79056,0.69078,0.39453,0.75852,0.27803,0.79102,0.008911,0.008911,0.008911
57,160523,0.55225,1.05358,0.45016,0.83633,0.95779,0.75727,0.79629,0.76516,0.94075,0.75301,0.79081,0.69148,0.39343,0.75689,0.2768,0.79088,0.0088912,0.0088912,0.0088912
58,163954,0.54911,1.04514,0.44698,0.83477,0.95742,0.75735,0.79647,0.76552,0.9401,0.75328,0.79109,0.69182,0.39225,0.75552,0.2761,0.79064,0.0088714,0.0088714,0.0088714
59,167324,0.54626,1.04116,0.44464,0.83482,0.9582,0.75742,0.79643,0.76556,0.94206,0.75296,0.79105,0.69183,0.39107,0.7545,0.2754,0.79048,0.0088516,0.0088516,0.0088516
60,170655,0.54698,1.04429,0.44544,0.83435,0.9569,0.75781,0.79652,0.76568,0.93892,0.75358,0.79105,0.69168,0.39061,0.7537,0.27456,0.79041,0.0088318,0.0088318,0.0088318
61,173868,0.54706,1.04119,0.44486,0.83367,0.95671,0.75776,0.79658,0.76586,0.93774,0.75367,0.79111,0.69133,0.39046,0.75283,0.27401,0.79033,0.008812,0.008812,0.008812
62,177274,0.54666,1.04671,0.44673,0.83404,0.95571,0.75826,0.79658,0.76583,0.93776,0.75383,0.79107,0.69144,0.38951,0.75197,0.27348,0.7902,0.0087922,0.0087922,0.0087922
63,180721,0.54682,1.04823,0.44351,0.83454,0.95582,0.75821,0.79682,0.76598,0.93585,0.75432,0.7911,0.69151,0.38903,0.75138,0.274,0.79008,0.0087724,0.0087724,0.0087724
