epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,66260.7,0.49425,0.99276,0.40339,0.82138,0.94515,0.76914,0.80616,0.77578,0.92125,0.76001,0.79628,0.69792,0.33919,0.68219,0.23932,0.78247,0.0080596,0.0080596,0.0080596
100,66943.8,0.49253,0.97905,0.40327,0.82125,0.94512,0.76906,0.80622,0.77588,0.91938,0.7604,0.7963,0.69826,0.33863,0.68184,0.239,0.78249,0.0080398,0.0080398,0.0080398
101,67614.7,0.49471,0.98772,0.40294,0.82157,0.94465,0.76917,0.80614,0.77578,0.91838,0.76075,0.79637,0.69811,0.33826,0.68144,0.23868,0.7824,0.00802,0.00802,0.00802
102,68297.6,0.49312,0.98474,0.40129,0.82108,0.94499,0.7693,0.80593,0.77556,0.91762,0.76109,0.79613,0.69783,0.33797,0.68105,0.23844,0.78228,0.0080002,0.0080002,0.0080002
103,68968.3,0.49182,0.98034,0.40051,0.82085,0.94414,0.76952,0.80587,0.77554,0.91942,0.76094,0.79621,0.6975,0.33747,0.68054,0.23807,0.78218,0.0079804,0.0079804,0.0079804
104,69656.5,0.49154,0.98174,0.40101,0.82103,0.94377,0.76961,0.80577,0.77566,0.9187,0.76093,0.79611,0.6973,0.33754,0.67991,0.23776,0.78219,0.0079606,0.0079606,0.0079606
105,70327.8,0.49176,0.98138,0.3998,0.82065,0.94395,0.76973,0.80571,0.77541,0.91854,0.76098,0.796,0.69706,0.33723,0.67936,0.2375,0.78216,0.0079408,0.0079408,0.0079408
106,71010.2,0.4881,0.97809,0.39654,0.82033,0.94424,0.76958,0.80568,0.77554,0.91818,0.76104,0.79592,0.697,0.33703,0.67892,0.23728,0.78213,0.007921,0.007921,0.007921
107,71680.4,0.48846,0.97399,0.39678,0.82063,0.94465,0.76974,0.80589,0.7756,0.91825,0.76106,0.79608,0.69687,0.33666,0.67862,0.23695,0.78206,0.0079012,0.0079012,0.0079012
108,72361.1,0.48967,0.97594,0.39941,0.82154,0.94372,0.76999,0.80603,0.77579,0.91858,0.76098,0.79631,0.69727,0.33602,0.67808,0.23689,0.78196,0.0078814,0.0078814,0.0078814
109,73042.3,0.49128,0.98554,0.39878,0.81997,0.94406,0.77008,0.80626,0.77593,0.91865,0.76134,0.79664,0.69723,0.33581,0.67761,0.23644,0.7819,0.0078616,0.0078616,0.0078616
110,73711.8,0.48845,0.97575,0.39816,0.82037,0.94392,0.77018,0.80655,0.77607,0.9182,0.76139,0.79644,0.69726,0.33551,0.67673,0.23635,0.78188,0.0078418,0.0078418,0.0078418
111,74392,0.49028,0.97795,0.3987,0.82031,0.94261,0.77029,0.8065,0.77611,0.91533,0.7616,0.79646,0.69723,0.33518,0.67655,0.23612,0.78178,0.007822,0.007822,0.007822
112,75064.1,0.48785,0.9737,0.39731,0.82012,0.9429,0.77026,0.80651,0.77608,0.91657,0.76145,0.79642,0.69743,0.33489,0.67629,0.23592,0.78178,0.0078022,0.0078022,0.0078022
113,75738.4,0.48802,0.97362,0.3975,0.81999,0.94431,0.7702,0.80667,0.77634,0.91761,0.76143,0.7966,0.69762,0.3343,0.67582,0.23561,0.78172,0.0077824,0.0077824,0.0077824
114,76405,0.48583,0.96925,0.3954,0.81948,0.94262,0.77061,0.80683,0.77644,0.91798,0.76134,0.79677,0.69803,0.33396,0.67581,0.23552,0.78169,0.0077626,0.0077626,0.0077626
115,77081.5,0.48765,0.97731,0.39653,0.81974,0.94312,0.77051,0.80715,0.77672,0.91802,0.76143,0.7972,0.69824,0.33392,0.6751,0.23526,0.7816,0.0077428,0.0077428,0.0077428
116,77753.1,0.48801,0.97689,0.39659,0.82023,0.9428,0.77065,0.8075,0.77703,0.91776,0.76149,0.79762,0.69871,0.33374,0.67452,0.23524,0.78157,0.007723,0.007723,0.007723
117,78432.4,0.48514,0.9658,0.39423,0.81995,0.94325,0.77067,0.80751,0.77719,0.91681,0.76156,0.79739,0.6986,0.33322,0.67395,0.2349,0.78151,0.0077032,0.0077032,0.0077032
118,79108.8,0.48764,0.97802,0.39491,0.81991,0.943,0.77063,0.80762,0.77732,0.91585,0.76183,0.7976,0.69887,0.33274,0.67333,0.23438,0.7815,0.0076834,0.0076834,0.0076834
119,79793.8,0.48642,0.97224,0.39675,0.81985,0.94244,0.77057,0.80787,0.77748,0.91656,0.76172,0.79768,0.69893,0.33243,0.67257,0.2342,0.78146,0.0076636,0.0076636,0.0076636
120,80457.6,0.4837,0.96715,0.39173,0.81945,0.94331,0.77058,0.80799,0.77781,0.91764,0.76193,0.79806,0.69939,0.33211,0.67229,0.23399,0.78141,0.0076438,0.0076438,0.0076438
121,81141.8,0.48541,0.97269,0.39546,0.82032,0.94241,0.7707,0.80816,0.77786,0.91798,0.76184,0.79816,0.69963,0.33181,0.67196,0.23362,0.78135,0.007624,0.007624,0.007624
122,81803.3,0.48419,0.96883,0.39363,0.82007,0.9425,0.77056,0.80828,0.77813,0.91836,0.7618,0.7982,0.69972,0.33148,0.67141,0.23352,0.78135,0.0076042,0.0076042,0.0076042
123,82488.9,0.48377,0.96292,0.39225,0.81947,0.94199,0.77079,0.80843,0.77815,0.9157,0.76195,0.79817,0.69965,0.33151,0.67092,0.23332,0.78139,0.0075844,0.0075844,0.0075844
124,83165.1,0.48615,0.97259,0.3951,0.82097,0.94205,0.77083,0.80843,0.77832,0.91693,0.76187,0.79824,0.69985,0.33137,0.67037,0.23332,0.78144,0.0075646,0.0075646,0.0075646
125,83858.7,0.48273,0.96663,0.39139,0.82012,0.94285,0.77088,0.80834,0.77831,0.91731,0.76188,0.79818,0.69997,0.33121,0.66973,0.23313,0.78147,0.0075448,0.0075448,0.0075448
126,84533.9,0.48372,0.97122,0.39425,0.81975,0.94297,0.77092,0.8083,0.77813,0.91621,0.76215,0.79838,0.69992,0.33104,0.66925,0.23314,0.78141,0.007525,0.007525,0.007525
127,85217.2,0.48142,0.9626,0.39044,0.81914,0.94331,0.77111,0.8085,0.77833,0.916,0.76245,0.79865,0.70023,0.33082,0.66862,0.23277,0.78141,0.0075052,0.0075052,0.0075052
